,company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status
0,C2FO,20,2,2022-12-09,"Fintech, payments","Leawood, KS",Kansas City Business Journal,Private
2,Amperity,13,3,2022-08-20,"Saas, analytics",Seattle,Geekwire,Private
3,Addepar,20,3,2023-01-18,"fintech, data analytics","Mountain View, CA",Fortune,Private
4,Thirty Madison,24,3,2022-05-13,Health Care,New York,Axios,Private
6,Armis Security,25,4,2022-12-08,Cybersecurity,San Francisco,Calcalistech,Private
7,Foxtrot,26,4,2022-09-23,"food and beverage, e-commerce",Chicago,Chicago Business,Private
8,Headspace Health,50,4,2022-12-14,"telehealth, wellness",Los Angeles,Bloomberg,Private
9,RealSelf,11,5,2022-07-21,Beauty tech,Seattle,GeekWire,Private
10,New Relic,110,5,2022-08-18,"productivity, enterprise software","Bay Area, CA",MarketWatch,Private
11,Abra,12,5,2022-06-30,Crypto,Mountain View,The Block,Private
12,Clarify Health,15,5,2022-07-22,Health Care,San Francisco,Axios,Private
13,Argo AI,150,5,2022-07-07,Transportation,Pittsburgh,TechCrunch,Private
14,Snyk,220,5,2022-10-24,Cybersecurity,Boston,Globes,Private
15,JOKR,50,5,2022-06-16,"Food delivery, ecommerce",New York,TechCrunch,Private
16,Project44,63,5,2022-07-15,Logistics,Chicago,FreightWaves,Private
17,Reef,750,5,2022-05-06,"Food delivery, ecommerce",Miami,The Information,Private
21,CoinDCX,100,6,2023-01-11,"Blockchain, cryptocurrency","Mumbai, India",Biometric Update,Private
22,Food52,20,6,2022-04-08,"Media, E-commerce",New York,Digiday,Private
23,Motive,237,6,2022-12-07,"enterprise software, productivity",San Francisco,Motive,Private
24,Canoo,58,6,2022-07-01,Transportation,"Torrance, California",Business Insider,Private
25,Wonder,130,7,2022-11-30,"Food delivery, ecommerce",New York,The Information,Private
26,Argyle,20,7,2022-08-26,InsurTech,New York,TechCrunch,Private
27,Kabam,35,7,2022-11-09,video games,San Francisco,TechCrunch,Private
28,Upstart,60,7,2022-11-01,Fintech,"San Carlos, CA",TechCrunch,Private
29,Gemini,68,7,2022-07-18,Crypto,New York,TechCrunch,Private
30,Faire,84,7,2022-11-03,"E-commerce, retail",San Francisco,The Information,Private
